url,Reportdata number 1,Reportdata link 1,Reportdata link 1_link,Reportdata number 2,Reportdata link 2,Reportdata link 2_link,Reportdata number 3,Reportdata number 4,Reportdata number 5,
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,187,52314,http://zipatlas.com/us/ia/mount-vernon/zip-52314.htm,"41.935363, -91.447684",Mount Vernon,http://zipatlas.com/us/ia/mount-vernon.htm,"5,147",83.41,"#15,036",83
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,188,50428,http://zipatlas.com/us/ia/clear-lake/zip-50428.htm,"43.202578, -93.448342",Clear Lake,http://zipatlas.com/us/ia/clear-lake.htm,"9,990",83.41,"#15,037",83
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,189,51301,http://zipatlas.com/us/ia/spencer/zip-51301.htm,"43.154166, -95.147702",Spencer,http://zipatlas.com/us/ia/spencer.htm,"12,885",82.4,"#15,101",82
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,190,50109,http://zipatlas.com/us/ia/granger/zip-50109.htm,"41.770791, -93.800486",Granger,http://zipatlas.com/us/ia/granger.htm,"1,738",81.49,"#15,164",81
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,191,52205,http://zipatlas.com/us/ia/anamosa/zip-52205.htm,"42.109109, -91.270393",Anamosa,http://zipatlas.com/us/ia/anamosa.htm,"8,087",79.38,"#15,303",79
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,192,50036,http://zipatlas.com/us/ia/boone/zip-50036.htm,"42.085554, -93.864204",Boone,http://zipatlas.com/us/ia/boone.htm,"16,185",79.13,"#15,322",79
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,193,50593,http://zipatlas.com/us/ia/varina/zip-50593.htm,"42.654349, -94.905146",Varina,http://zipatlas.com/us/ia/varina.htm,82,77.07,"#15,471",77
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,194,51452,http://zipatlas.com/us/ia/lidderdale/zip-51452.htm,"42.130556, -94.786762",Lidderdale,http://zipatlas.com/us/ia/lidderdale.htm,177,76.8,"#15,492",77
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,195,51401,http://zipatlas.com/us/ia/carroll/zip-51401.htm,"42.067796, -94.868652",Carroll,http://zipatlas.com/us/ia/carroll.htm,"12,288",74.94,"#15,640",75
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,196,50244,http://zipatlas.com/us/ia/slater/zip-50244.htm,"41.856382, -93.651672",Slater,http://zipatlas.com/us/ia/slater.htm,"1,724",73.74,"#15,727",74
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,197,50038,http://zipatlas.com/us/ia/booneville/zip-50038.htm,"41.524581, -93.896420",Booneville,http://zipatlas.com/us/ia/booneville.htm,322,73.16,"#15,769",73
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,198,50118,http://zipatlas.com/us/ia/hartford/zip-50118.htm,"41.454943, -93.375780",Hartford,http://zipatlas.com/us/ia/hartford.htm,924,72.42,"#15,831",72
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,199,52333,http://zipatlas.com/us/ia/solon/zip-52333.htm,"41.807598, -91.492416",Solon,http://zipatlas.com/us/ia/solon.htm,"6,090",71.27,"#15,925",71
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,200,52227,http://zipatlas.com/us/ia/ely/zip-52227.htm,"41.894467, -91.568527",Ely,http://zipatlas.com/us/ia/ely.htm,"1,752",70.44,"#16,005",70
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,1,50311,http://zipatlas.com/us/ia/des-moines/zip-50311.htm,"41.601734, -93.683006",Des Moines,http://zipatlas.com/us/ia/des-moines.htm,"18,590","5,071.48","#1,680",5070
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,2,50314,http://zipatlas.com/us/ia/des-moines/zip-50314.htm,"41.605917, -93.631923",,,"12,411","4,921.19","#1,751",4921
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,3,52803,http://zipatlas.com/us/ia/davenport/zip-52803.htm,"41.539584, -90.556918",Davenport,http://zipatlas.com/us/ia/davenport.htm,"24,253","4,802.89","#1,823",4803
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,4,52595,http://zipatlas.com/us/ia/university-park/zip-52595.htm,"41.286656, -92.619089",University Park,http://zipatlas.com/us/ia/university-park.htm,324,"4,636.27","#1,911",4636
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,5,50316,http://zipatlas.com/us/ia/des-moines/zip-50316.htm,"41.608683, -93.597291",,,"16,381","4,587.04","#1,949",4587
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,6,50310,http://zipatlas.com/us/ia/des-moines/zip-50310.htm,"41.628599, -93.672775",,,"31,332","4,156.54","#2,227",4157
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,7,50315,http://zipatlas.com/us/ia/des-moines/zip-50315.htm,"41.544500, -93.619860",,,"35,854","3,803.76","#2,476",3804
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,8,50241,http://zipatlas.com/us/ia/saint-marys/zip-50241.htm,"41.308523, -93.731721",Saint Marys,http://zipatlas.com/us/ia/saint-marys.htm,7,"3,728.90","#2,541",3729
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,9,52242,http://zipatlas.com/us/ia/iowa-city/zip-52242.htm,"41.662783, -91.547579",Iowa City,http://zipatlas.com/us/ia/iowa-city.htm,"2,691","3,465.94","#2,772",3466
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,10,51578,http://zipatlas.com/us/ia/westphalia/zip-51578.htm,"41.719252, -95.395040",Westphalia,http://zipatlas.com/us/ia/westphalia.htm,137,"3,293.13","#2,922",3293
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,11,52758,http://zipatlas.com/us/ia/mc-causland/zip-52758.htm,"41.744789, -90.444448",Mc Causland,http://zipatlas.com/us/ia/mc-causland.htm,107,"2,965.68","#3,241",2966
http://zipatlas.com/us/ia/zip-code-comparison/population-density.htm,12,51008,http://zipatlas.com/us/ia/brunsville/zip-51008.htm,"42.808862, -96.268880",Brunsville,http://zipatlas.com/us/ia/brunsville.htm,106,"2,961.13","#3,245",2961
