,year,county_code,pov_count_tot,pov_rate_tot,pov_youth_count_0-17,pov_youth_rate_0-17,med_hh_income
336,2003,12019,12023.0,7.4,4361.0,10.4,51376.0
337,2003,12021,28186.0,9.6,9181.0,15.0,48242.0
338,2003,12023,9211.0,15.7,3590.0,23.8,30815.0
339,2003,12027,6016.0,18.4,2130.0,28.1,27784.0
340,2003,12029,2456.0,18.8,851.0,28.3,25874.0
341,2003,12031,103046.0,12.8,39267.0,17.9,40457.0
342,2003,12033,43153.0,15.7,15914.0,22.8,35347.0
343,2003,12035,5635.0,8.2,1794.0,14.6,42681.0
344,2003,12037,1409.0,14.7,465.0,23.0,28896.0
345,2003,12039,7768.0,18.0,3119.0,26.1,29814.0
346,2003,12041,2084.0,14.2,771.0,21.1,30908.0
347,2003,12043,1357.0,13.2,427.0,19.1,31598.0
348,2003,12045,1894.0,15.5,624.0,22.6,31543.0
349,2003,12047,2447.0,22.0,863.0,28.1,25201.0
350,2003,12049,5398.0,20.7,2189.0,29.0,27851.0
351,2003,12051,6733.0,18.1,2885.0,25.6,31292.0
352,2003,12053,17946.0,12.1,5894.0,20.7,33874.0
353,2003,12055,12832.0,14.0,4289.0,24.1,29421.0
354,2003,12057,141405.0,13.0,54936.0,19.6,43304.0
355,2003,12059,3215.0,18.7,1163.0,28.1,27773.0
356,2003,12061,12276.0,10.0,3860.0,16.5,40356.0
357,2003,12063,6729.0,16.2,2278.0,22.5,29951.0
358,2003,12065,2051.0,16.3,700.0,23.9,32742.0
359,2003,12067,1134.0,19.0,385.0,24.9,27177.0
360,2003,12069,26308.0,10.2,8996.0,17.3,39040.0
361,2003,12071,51711.0,10.2,16568.0,15.8,41270.0
362,2003,12073,32748.0,14.1,8723.0,16.7,38084.0
363,2003,12075,5996.0,16.4,2228.0,26.2,27904.0
364,2003,12077,1027.0,17.4,346.0,23.1,29824.0
365,2003,12079,3172.0,18.5,1119.0,25.5,26592.0
366,2003,12081,31408.0,10.8,10500.0,16.7,39756.0
367,2003,12083,39792.0,14.0,14230.0,23.5,33247.0
368,2003,12085,12460.0,9.2,3618.0,14.1,43136.0
369,2003,12086,439775.0,18.9,156395.0,26.7,33054.0
370,2003,12087,7948.0,10.3,2109.0,15.8,41306.0
371,2003,12089,5582.0,8.9,1959.0,13.3,48579.0
372,2003,12091,17394.0,9.9,6785.0,15.3,43173.0
373,2003,12093,5498.0,15.1,2104.0,22.2,29789.0
374,2003,12095,128263.0,13.2,48619.0,19.0,40671.0
375,2003,12097,28399.0,13.1,12131.0,21.0,38966.0
376,2003,12099,133704.0,10.9,43091.0,15.9,43014.0
377,2003,12101,47898.0,11.9,15743.0,18.6,35386.0
378,2003,12103,109779.0,12.0,33278.0,18.2,36266.0
379,2003,12105,71587.0,14.0,27825.0,21.8,35125.0
380,2003,12107,13436.0,18.8,5186.0,29.2,28664.0
381,2003,12109,12267.0,8.2,3604.0,10.9,52758.0
382,2003,12111,28970.0,12.9,10399.0,20.8,37407.0
383,2003,12113,13596.0,10.0,5037.0,15.0,44636.0
384,2003,12115,29367.0,8.4,7900.0,13.3,42355.0
385,2003,12117,35215.0,9.1,12093.0,12.6,49267.0
386,2003,12119,6817.0,13.1,2297.0,23.4,34044.0
387,2003,12121,6106.0,16.5,2143.0,24.9,29523.0
388,2003,12123,3010.0,16.9,1103.0,24.4,30871.0
389,2003,12125,1765.0,18.1,574.0,20.2,32847.0
390,2003,12127,56767.0,12.2,18612.0,19.4,36100.0
391,2003,12129,2815.0,11.1,993.0,16.1,38076.0
392,2003,12131,6268.0,13.5,2321.0,22.6,34884.0
393,2003,12133,3500.0,17.2,1254.0,26.3,28587.0
394,2003,13000,1155544.0,13.4,445866.0,19.1,42421.0
395,2003,13001,3012.0,17.1,1188.0,26.0,30517.0
396,2003,13003,1566.0,19.5,738.0,29.3,26311.0
397,2003,13005,1820.0,18.0,660.0,25.2,27902.0
398,2003,13007,843.0,19.9,325.0,29.9,26624.0
399,2003,13009,6568.0,17.7,2084.0,23.0,32935.0
400,2003,13011,1929.0,12.3,741.0,18.5,40070.0
401,2003,13013,5657.0,10.1,2243.0,14.3,46048.0
402,2003,13015,9399.0,10.9,4127.0,17.0,46097.0
403,2003,13017,3300.0,19.4,1353.0,28.5,27508.0
404,2003,13019,2791.0,16.9,1141.0,26.3,31106.0
405,2003,13021,28463.0,19.0,11935.0,28.5,35252.0
406,2003,13023,1745.0,15.3,726.0,24.1,35280.0
407,2003,13025,2458.0,15.9,1011.0,25.3,32686.0
408,2003,13027,3260.0,20.3,1266.0,30.1,26333.0
409,2003,13029,2750.0,10.0,1051.0,13.6,51620.0
410,2003,13031,10845.0,19.1,3103.0,24.3,29907.0
411,2003,13033,5074.0,21.9,2250.0,31.5,28911.0
412,2003,13035,2559.0,12.5,932.0,17.5,39076.0
413,2003,13037,1185.0,24.7,449.0,31.4,24695.0
414,2003,13039,4785.0,10.8,2075.0,14.4,43164.0
415,2003,13043,2116.0,21.6,895.0,32.0,26298.0
416,2003,13045,12370.0,12.5,5226.0,20.2,41071.0
417,2003,13047,6322.0,10.6,2322.0,15.5,42024.0
418,2003,13049,1791.0,19.1,698.0,26.3,28218.0
419,2003,13051,38737.0,16.9,15043.0,24.9,36775.0
420,2003,13053,1582.0,14.5,775.0,16.2,35698.0
421,2003,13055,3638.0,14.6,1287.0,21.3,30738.0
422,2003,13057,11210.0,6.4,4141.0,8.5,63707.0
423,2003,13059,18084.0,18.9,4412.0,23.2,29634.0
424,2003,13061,800.0,24.5,318.0,39.8,23380.0
425,2003,13063,36491.0,13.9,16356.0,20.5,39535.0
426,2003,13065,1380.0,20.7,565.0,28.8,26551.0
427,2003,13067,62395.0,9.6,20124.0,11.7,53000.0
428,2003,13069,7179.0,19.2,2967.0,26.9,29478.0
429,2003,13071,8459.0,19.7,3459.0,29.2,27694.0
